Product Name,Price,Rating,Best Seller,Brand,Discount,Department,website
CARDIO-NOTES Part 2 CVS Drugs (The Clinical Use Of Cardiovascular Drugs),EGP 180.00,5.0,0.0,Generic,0%,Books,Jumia
Book Store Ersus Novel Ahmed Al Hamdan,EGP 69.00,3.8,0.0,Book Store,72%,Books,Jumia
Book Of Letters From The Qur'an,EGP 70.00,3.0,0.0,Generic,0%,Books,Jumia
Book Store ارسس الجزء الثانى,EGP 80.00,4.4,0.0,Book Store,68%,Books,Jumia
Book Store Laws Of Freedom From Psychological Conflict,EGP 80.00,4.6,0.0,Book Store,73%,Books,Jumia
It Ends With Us - By Colleen Hoover,EGP 70.00,4.8,0.0,Generic,0%,Books,Jumia
Book Store لماذا يحب الرجال العاهرات,EGP 280.00,4.5,0.0,Book Store,0%,Books,Jumia
Ego Is The Enemy - By Ryan Holiday,EGP 99.00,5.0,0.0,Generic,51%,Books,Jumia
Cardio-Notes Part 3 Therapeutics Of Cardiac Diseases,EGP 405.00,3.7,0.0,Generic,0%,Books,Jumia
Powerful - BY Lauren Roberts,EGP 110.00,5.0,0.0,Generic,71%,Books,Jumia
(مجموعة من 10 قصص أطفال عربية للأطفال الصغار ودروس مثالية (حكايات جدتى,EGP 70.00,4.5,0.0,Generic,0%,Books,Jumia
Ebook Online Atomic Habits,EGP 70.00,4.4,0.0,Ebook Online,61%,Books,Jumia
The 48 Laws Of Power - By Robert Greene,EGP 115.00,4.4,0.0,Generic,43%,Books,Jumia
Book Store الى المنكسرة قلوبهم,EGP 80.00,5.0,0.0,Book Store,68%,Books,Jumia
