Product Name,Price,Rating,Best Seller,Brand,Discount,Department,website
Book Store ﺃننى ﺃتعفن رعبا,EGP 150.00,4.5,0.0,Book Store,67%,Books,Jumia
جلسات نفسية - د. محمد إبراهيم,EGP 68.00,4.5,0.0,Generic,58%,Books,Jumia
قضية ست الحسن - ميرنا  المهدى,EGP 90.00,5.0,0.0,Generic,74%,Books,Jumia
كتاب فاتتني صلاة إسلام جمال,EGP 65.00,4.7,0.0,Generic,46%,Books,Jumia
"Book Store The Rebel, Part One",EGP 65.00,4.1,0.0,Book Store,46%,Books,Jumia
Book Store دليل جدتى لقتل الأوغاد,EGP 75.00,4.1,0.0,Book Store,62%,Books,Jumia
The First Time I Studied The Qur’an,EGP 86.00,5.0,0.0,Generic,0%,Books,Jumia
ABC Of Drugs 6th  Edition (The Drug In Its Practical Form),EGP 475.00,4.3,0.0,Generic,0%,Books,Jumia
Book Store جسمك يتذكر كل شئ,EGP 165.00,3.5,0.0,Book Store,63%,Books,Jumia
Book Store Full Of Emptiness ممتلئ بالفراغ,EGP 90.00,3.9,0.0,Book Store,63%,Books,Jumia
Read People Like A Book - BY Patrick King,EGP 85.00,4.7,0.0,Generic,55%,Books,Jumia
Better Than The Movies - By Lynn Painter,EGP 99.00,4.0,0.0,Generic,56%,Books,Jumia
The Silent Patient - By Alex Michaelides,EGP 99.00,4.7,0.0,Jumia Book,46%,Books,Jumia
أول مره اتدبر القرآن,EGP 95.00,4.0,0.0,Generic,44%,Books,Jumia
The Psychology Of Money - BY Morgan Housel,EGP 88.00,4.6,0.0,Generic,56%,Books,Jumia
